Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR
01/08/2024,Columbus Crew,New York City FC,0,1,A
01/08/2024,Toronto FC,FC Dallas,2,1,H
01/08/2024,Minnesota United,Atlanta United,1,0,H
01/08/2024,Houston Dynamo,Vancouver Whitecaps,0,1,A
01/08/2024,Toronto FC,Montreal CF,2,0,H
01/08/2024,LA Galaxy,DC United,3,1,H
05/08/2024,Minnesota United,Chicago Fire,2,0,H
05/08/2024,Real Salt Lake,LA Galaxy,1,2,A
05/08/2024,San Jose Earthquakes,New York City FC,1,1,D
05/08/2024,FC Cincinnati,San Jose Earthquakes,1,3,A
05/08/2024,Sporting Kansas City,New York Red Bulls,1,1,D
05/08/2024,New York City FC,Montreal CF,0,2,A
07/08/2024,New York City FC,Vancouver Whitecaps,1,2,A
07/08/2024,Houston Dynamo,Real Salt Lake,2,1,H
07/08/2024,Atlanta United,FC Dallas,1,1,D
07/08/2024,San Jose Earthquakes,New York City FC,2,1,H
07/08/2024,New England Revolution,San Jose Earthquakes,1,3,A
07/08/2024,Montreal CF,Los Angeles FC,1,0,H
09/08/2024,Seattle Sounders,New York City FC,1,0,H
09/08/2024,Vancouver Whitecaps,San Jose Earthquakes,2,2,D
09/08/2024,New England Revolution,Montreal CF,2,1,H
09/08/2024,Vancouver Whitecaps,Philadelphia Union,6,2,H
09/08/2024,Chicago Fire,Philadelphia Union,5,0,H
09/08/2024,FC Cincinnati,Minnesota United,1,0,H
13/08/2024,Houston Dynamo,San Jose Earthquakes,2,3,A
13/08/2024,Philadelphia Union,Sporting Kansas City,3,2,H
13/08/2024,Inter Miami CF,New York City FC,0,0,D
13/08/2024,Portland Timbers,Chicago Fire,3,2,H
13/08/2024,New York City FC,Toronto FC,2,2,D
13/08/2024,FC Cincinnati,Atlanta United,1,2,A
16/08/2024,New York City FC,Inter Miami CF,4,2,H
16/08/2024,Houston Dynamo,Montreal CF,1,2,A
16/08/2024,Vancouver Whitecaps,Atlanta United,0,1,A
16/08/2024,LA Galaxy,Minnesota United,2,2,D
16/08/2024,Columbus Crew,LA Galaxy,1,1,D
16/08/2024,Sporting Kansas City,Minnesota United,1,2,A
18/08/2024,Portland Timbers,Inter Miami CF,2,1,H
18/08/2024,Minnesota United,LA Galaxy,1,2,A
18/08/2024,San Jose Earthquakes,Chicago Fire,2,2,D
18/08/2024,Sporting Kansas City,LA Galaxy,1,3,A
18/08/2024,Houston Dynamo,Montreal CF,5,1,H
18/08/2024,Real Salt Lake,DC United,1,0,H
20/08/2024,New England Revolution,Colorado Rapids,3,0,H
20/08/2024,Philadelphia Union,Montreal CF,3,2,H
20/08/2024,FC Dallas,Atlanta United,1,2,A
20/08/2024,New England Revolution,Houston Dynamo,1,2,A
20/08/2024,Seattle Sounders,New York City FC,0,2,A
20/08/2024,Toronto FC,Vancouver Whitecaps,3,1,H
22/08/2024,Atlanta United,Houston Dynamo,2,1,H
22/08/2024,Philadelphia Union,Vancouver Whitecaps,0,3,A
22/08/2024,New York Red Bulls,Inter Miami CF,1,4,A
22/08/2024,DC United,FC Dallas,0,2,A
22/08/2024,Vancouver Whitecaps,New York City FC,1,1,D
22/08/2024,Columbus Crew,FC Cincinnati,2,0,H
26/08/2024,FC Cincinnati,Atlanta United,0,4,A
26/08/2024,Sporting Kansas City,LA Galaxy,0,4,A
26/08/2024,Real Salt Lake,Vancouver Whitecaps,1,0,H
26/08/2024,Philadelphia Union,New York City FC,2,1,H
26/08/2024,Houston Dynamo,Chicago Fire,1,2,A
26/08/2024,Columbus Crew,LA Galaxy,1,1,D
28/08/2024,Real Salt Lake,Minnesota United,0,0,D
28/08/2024,Vancouver Whitecaps,Portland Timbers,3,2,H
28/08/2024,Minnesota United,Columbus Crew,0,0,D
28/08/2024,Houston Dynamo,Toronto FC,0,0,D
28/08/2024,Real Salt Lake,FC Dallas,2,1,H
28/08/2024,Atlanta United,Portland Timbers,0,3,A
01/09/2024,San Jose Earthquakes,Columbus Crew,1,3,A
01/09/2024,Philadelphia Union,New York City FC,1,1,D
01/09/2024,FC Dallas,Chicago Fire,1,1,D
01/09/2024,FC Cincinnati,New York City FC,1,1,D
01/09/2024,Sporting Kansas City,Philadelphia Union,0,2,A
01/09/2024,New England Revolution,DC United,4,2,H
05/09/2024,FC Cincinnati,New York Red Bulls,1,0,H
05/09/2024,LA Galaxy,Atlanta United,1,2,A
05/09/2024,New England Revolution,Atlanta United,2,0,H
05/09/2024,Montreal CF,Columbus Crew,1,1,D
05/09/2024,Portland Timbers,Vancouver Whitecaps,2,0,H
05/09/2024,Seattle Sounders,Columbus Crew,2,1,H
09/09/2024,Los Angeles FC,LA Galaxy,1,3,A
09/09/2024,Atlanta United,Vancouver Whitecaps,0,1,A
09/09/2024,Columbus Crew,New York Red Bulls,1,1,D
09/09/2024,Seattle Sounders,Houston Dynamo,2,1,H
09/09/2024,FC Cincinnati,LA Galaxy,3,1,H
09/09/2024,FC Dallas,Toronto FC,3,1,H
11/09/2024,Inter Miami CF,Columbus Crew,2,2,D
11/09/2024,Houston Dynamo,Toronto FC,3,3,D
11/09/2024,Toronto FC,Colorado Rapids,2,1,H
11/09/2024,Montreal CF,Inter Miami CF,1,2,A
11/09/2024,Atlanta United,Chicago Fire,2,0,H
